timetag,mouse X,mouse Y,right eye x,right eye y,left eye x,left eye y,error rigth x,error right y,error left x,error left y,pp left,pp right
9669.140741,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.148953,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.157203,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.165679,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.173914,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.182365,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.209752,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.215337,-1413.000000,958.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35140.000000,33185.000000,-35140.000000,33185.000000,0.000000,0.000000
9669.382248,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.390659,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.398891,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.420090,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.432203,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.440759,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.448730,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.457334,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
9669.465526,-1414.000000,951.000000,33727.000000,-32227.000000,33727.000000,-32227.000000,-35141.000000,33178.000000,-35141.000000,33178.000000,0.000000,0.000000
