right x, right y, right size, left x, left y, left size
4.336182,7.754150,28.847656,4.204590,8.247559,29.015625
4.338867,7.754883,28.855469,4.211670,8.246826,29.015625
4.339600,7.754395,28.867188,4.211182,8.241455,29.035156
4.333984,7.753906,28.863281,4.193604,8.228027,29.085938
4.334961,7.750732,28.843750,4.180176,8.226074,29.082031
4.342041,7.751221,28.839844,4.186523,8.235107,29.039062
4.346924,7.751709,28.847656,4.196045,8.243652,29.035156
4.351562,7.746094,28.871094,4.203125,8.239746,29.023438
4.353516,7.743652,28.886719,4.212646,8.244141,29.003906
4.349609,7.739990,28.890625,4.203125,8.229492,29.027344
4.357666,7.742920,28.898438,4.219238,8.248779,28.996094
4.365479,7.753174,28.871094,4.220703,8.259766,28.968750
4.359131,7.762207,28.867188,4.234375,8.256836,28.953125
4.359131,7.755127,28.894531,4.231445,8.263916,28.953125
4.358643,7.758057,28.886719,4.228760,8.254150,28.968750
4.365967,7.757324,28.894531,4.233154,8.273926,28.941406
4.361328,7.758789,28.867188,4.240967,8.283447,28.937500
4.362793,7.754150,28.875000,4.246582,8.290283,28.945312
4.356201,7.764404,28.863281,4.251953,8.297363,28.917969
4.361328,7.772705,28.851562,4.249268,8.305908,28.906250
4.355469,7.763428,28.871094,4.246582,8.303467,28.933594
4.365479,7.763184,28.882812,4.255127,8.305176,28.925781
4.356934,7.764893,28.863281,4.249268,8.292969,28.957031
4.355957,7.775391,28.886719,4.248047,8.282959,28.957031
4.359619,7.782227,28.863281,4.239990,8.273438,28.984375
4.353027,7.773926,28.867188,4.256592,8.296631,28.945312
4.353271,7.782715,28.855469,4.230469,8.276123,28.976562
4.349609,7.775391,28.867188,4.242676,8.291748,28.929688
4.359131,7.784668,28.886719,4.223145,8.273193,28.996094
4.341064,7.770996,28.886719,4.221924,8.263184,29.019531
4.346680,7.788818,28.855469,4.233643,8.284912,28.988281
4.355469,7.790039,28.875000,4.218262,8.269287,28.976562
4.354492,7.790527,28.875000,4.211426,8.274902,28.976562
4.360840,7.792236,28.886719,4.224365,8.280029,28.957031
4.359863,7.790283,28.882812,4.213135,8.266846,28.992188
4.358154,7.791260,28.875000,4.191895,8.251465,29.031250
4.367920,7.799316,28.867188,4.204102,8.261475,29.023438
4.364502,7.793213,28.871094,4.210205,8.250000,29.019531
4.363770,7.798828,28.875000,4.217773,8.261719,28.992188
4.372559,7.803955,28.871094,4.205811,8.259277,29.015625
4.358154,7.804688,28.871094,4.216064,8.267578,28.988281
4.364990,7.799316,28.878906,4.204102,8.252441,29.023438
4.378174,7.803223,28.867188,4.204834,8.243408,29.046875
4.374268,7.807617,28.867188,4.202393,8.247314,29.058594
4.365479,7.802979,28.859375,4.192627,8.236572,29.046875
4.366943,7.801270,28.878906,4.203369,8.255859,29.042969
4.355469,7.802979,28.855469,4.201416,8.261475,29.031250
4.353271,7.796875,28.863281,4.186768,8.260010,29.097656
4.356201,7.800537,28.855469,4.142334,8.266357,29.039062
4.358398,7.791260,28.886719,4.130859,8.246582,29.089844
4.355957,7.795166,28.886719,4.147949,8.260010,29.058594
4.364014,7.800537,28.851562,4.149414,8.251709,29.070312
4.362549,7.799316,28.867188,4.159180,8.259521,29.058594
4.361572,7.794922,28.882812,4.167480,8.266846,29.039062
4.369873,7.801025,28.890625,4.162109,8.259766,29.066406
4.374512,7.809082,28.855469,4.173828,8.277100,29.023438
4.365967,7.794434,28.878906,4.178955,8.273926,29.000000
4.368652,7.797607,28.894531,4.184814,8.278809,28.976562
4.369385,7.794434,28.910156,4.190430,8.277832,29.003906
4.372559,7.798340,28.882812,4.181396,8.286133,28.992188
4.374023,7.797852,28.871094,4.184814,8.279785,28.953125
4.385498,7.800537,28.875000,4.195312,8.289551,28.929688
4.391357,7.799072,28.882812,4.208252,8.305420,28.902344
4.391113,7.799072,28.875000,4.209717,8.309082,28.898438
4.399658,7.803711,28.859375,4.223633,8.317139,28.894531
4.394775,7.806641,28.851562,4.206787,8.302002,28.949219
4.389893,7.809814,28.855469,4.215576,8.302002,28.937500
4.402100,7.824707,28.835938,4.205078,8.303955,28.941406
4.402100,7.811279,28.855469,4.208252,8.309326,28.941406
4.410889,7.818115,28.851562,4.206543,8.304688,28.957031
4.408936,7.818848,28.843750,4.207764,8.308350,28.941406
4.400146,7.813232,28.875000,4.202393,8.291260,28.949219
4.399658,7.808838,28.867188,4.202148,8.303467,28.957031
4.399414,7.820557,28.863281,4.206543,8.297363,28.953125
4.400879,7.813965,28.859375,4.207031,8.295166,28.968750
4.377441,7.812012,28.886719,4.214355,8.291748,28.949219
4.373779,7.814697,28.890625,4.200195,8.292969,28.945312
4.374023,7.813477,28.867188,4.199463,8.298340,28.960938
4.375977,7.814697,28.875000,4.205566,8.295410,28.964844
4.370605,7.806152,28.863281,4.209717,8.300781,28.976562
4.370605,7.807617,28.875000,4.220459,8.307373,28.953125
4.375000,7.811768,28.878906,4.205078,8.298340,28.968750
4.377197,7.816895,28.851562,4.211670,8.289062,28.945312
4.378662,7.819824,28.871094,4.214355,8.309326,28.949219
4.378174,7.821533,28.871094,4.213379,8.313965,28.910156
4.377930,7.807617,28.886719,4.216797,8.310547,28.917969
4.377930,7.806396,28.902344,4.215820,8.313721,28.937500
4.378174,7.802490,28.894531,4.221191,8.324707,28.902344
4.384766,7.805664,28.894531,4.221680,8.300781,28.910156
4.384033,7.809570,28.902344,4.232666,8.318604,28.871094
4.383301,7.812500,28.886719,4.234131,8.316895,28.902344
