right x, right y, right size, left x, left y, left size
1.512451,15.453369,26.886719,1.282471,16.247559,29.640625
1.493896,15.447998,26.933594,1.286865,16.245605,29.664062
1.493896,15.445312,26.910156,1.275391,16.245361,29.656250
1.492432,15.446533,26.929688,1.282227,16.250977,29.664062
1.505127,15.451904,26.933594,1.280029,16.254150,29.648438
1.509033,15.452637,26.898438,1.286865,16.254395,29.675781
1.502197,15.449951,26.917969,1.289062,16.252686,29.664062
1.504395,15.441162,26.902344,1.292725,16.256104,29.671875
1.506348,15.430176,26.937500,1.294922,16.253418,29.667969
1.505371,15.433105,26.949219,1.298096,16.253174,29.664062
1.507812,15.428711,26.964844,1.287109,16.256348,29.683594
1.504395,15.445312,26.953125,1.294189,16.249023,29.699219
1.506836,15.439941,26.976562,1.288574,16.254150,29.695312
1.500488,15.451172,26.972656,1.287109,16.257568,29.714844
1.506104,15.455322,26.972656,1.283691,16.252686,29.703125
1.501465,15.474365,26.925781,1.279541,16.247559,29.695312
1.485352,15.457275,26.957031,1.282227,16.256104,29.687500
1.489258,15.455811,26.980469,1.277100,16.245361,29.695312
1.491455,15.461914,26.937500,1.273438,16.253662,29.699219
1.498047,15.468506,26.933594,1.275879,16.251221,29.695312
1.501709,15.466553,26.910156,1.271973,16.247314,29.699219
1.511719,15.490234,26.933594,1.268799,16.241943,29.699219
1.518799,15.485840,26.894531,1.268555,16.242920,29.683594
1.515869,15.485107,26.902344,1.265869,16.228027,29.667969
1.505615,15.472168,26.906250,1.258301,16.227295,29.675781
1.507812,15.484863,26.929688,1.261719,16.230957,29.667969
1.515625,15.461914,26.933594,1.262939,16.236084,29.671875
1.521973,15.503662,26.933594,1.261475,16.232178,29.664062
1.512207,15.493408,26.929688,1.261719,16.231445,29.675781
1.522949,15.499756,26.941406,1.249023,16.223877,29.687500
1.510986,15.498779,26.921875,1.245605,16.231445,29.687500
1.515869,15.502197,26.921875,1.254150,16.226562,29.675781
1.513428,15.504395,26.925781,1.253174,16.226807,29.687500
1.508545,15.508789,26.925781,1.254395,16.237061,29.671875
1.508057,15.495850,26.925781,1.252441,16.230469,29.691406
1.506104,15.501709,26.882812,1.244141,16.219971,29.667969
1.504150,15.481201,26.941406,1.256592,16.213867,29.671875
1.512939,15.503418,26.898438,1.250488,16.217285,29.683594
1.510986,15.491943,26.910156,1.246338,16.227295,29.691406
1.516113,15.493896,26.886719,1.251221,16.226318,29.687500
1.510742,15.489990,26.910156,1.260986,16.226074,29.687500
1.506348,15.501221,26.910156,1.243164,16.223389,29.660156
1.505615,15.507324,26.914062,1.242920,16.227051,29.671875
1.510986,15.503174,26.886719,1.248291,16.233887,29.660156
1.510010,15.512207,26.890625,1.245361,16.233643,29.660156
1.502930,15.487793,26.953125,1.244385,16.249268,29.664062
1.514404,15.492676,26.925781,1.243164,16.249023,29.675781
1.506592,15.495850,26.910156,1.247803,16.252930,29.664062
1.505859,15.506348,26.902344,1.242432,16.254883,29.675781
1.516357,15.489502,26.910156,1.232910,16.254639,29.660156
1.504639,15.506836,26.898438,1.229492,16.259521,29.656250
1.523438,15.506836,26.902344,1.224365,16.257568,29.644531
1.520020,15.517822,26.890625,1.218262,16.264648,29.632812
